model_name,accuracy,precision,recall,f1_score,kappa,f1_norm,speed_norm,weighted_score
MobileNetV2,0.8401465201465201,0.7765506479365321,0.8401465201465201,0.7892728694182424,0.8236631153511529,1.0,0.30000000000000004,0.65
Custom CNN,0.8196336996336996,0.7448367179556701,0.8196336996336996,0.7704534701979454,0.8012082427462419,0.9761560292397122,0.0,0.5654624116958848
EfficientNetB0,0.6369230769230769,0.705343469768191,0.6369230769230769,0.5985957670545626,0.6041831952609875,0.7584142192747305,0.09999999999999998,0.5033656877098922
